/* DATA DESCRIPTION:
Citation:	Dickens, GR; Backman, J (2013): (Table S11) Recalibrated depth and ages for previously published stable isotope data from DSDP Hole 86-577. doi:10.1594/PANGAEA.809200, 
	In Supplement to: Dickens, Gerald Roy; Backman, Jan (2013): Core alignment and composite depth scale for the lower Paleogene through uppermost Cretaceous interval at Deep Sea Drilling Project Site 577. Newsletters on Stratigraphy
Related to:	Cramer, Benjamin S; Wright, James D; Kent, Dennis V; Aubry, Marie-Pierre (2003): Orbital climate forcing of d13C excursions in the late Paleocene-early Eocene (chrons C24n-C25n). Paleoceanography, 18(4), 1097, doi:10.1029/2003PA000909
	Westerhold, Thomas; Röhl, Ursula; Laskar, Jacques (2012): Time scale controversy: Accurate orbital calibration of early Paleogene. Geochemistry Geophysics Geosystems, 13, Q06015, doi:10.1029/2012GC004096
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, doi:10.1016/j.palaeo.2007.09.016
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 32.441800 * LONGITUDE: 157.723300
	MINIMUM DEPTH, sediment/rock: 74.6 m * MAXIMUM DEPTH, sediment/rock: 88.0 m
Event(s):	86-577 * LATITUDE: 32.441800 * LONGITUDE: 157.723300 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 111.10 m * PENETRATION: 118.80 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 118.8 m cored; 0 m drilled; 93.5 % recovery
Comment:	Placement of previously published bulk and benthic foraminifera stable carbon isotope data for Upper Cretaceous and Lower Paleogene sediment at DSDP Site 577 according to composite depth scale and an updated time scale (Westerhold et al., 2008, 2012). Isotope data were reported by Cramer et al. (2003), dataset doi:10.1594/PANGAEA.741861. DEPTH, sediment is the depth [mbsf] reported by Cramer et al. (2003). Note that depths for CC samples are not consistent with core logs.
Parameter(s):	Sample code/label (Label) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001) * COMMENT: we have relabled core catcher (CC) samples as an additional section for purposes of math; given in brackets
	DEPTH, sediment/rock [m] (Depth) * Geocode
	Depth, top/min [m] (Depth top) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: core top [mbsf], reported according to drillers table (Shipboard Scientific Party, 1985) and with positions of CC intervals from core logs
	Void correction [m] (Void corr) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, sediment revised [m] (Depth revised) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: corrected [mbsf], assuming average interval distance and the above
	Offset [m] (Offset) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: offset of cores from Table 2
	Depth, composite [mcd] (Depth c) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: adjusted, the depth of the sample in floating depth space [mcd] relative to m below seafloor
	delta 13C, carbonate [per mil PDB] (d13C carb) * PI: Cramer, Benjamin S
	delta 18O, carbonate [per mil PDB] (d18O carb) * PI: Cramer, Benjamin S
	Age, relative [ka] (Age rel) * PI: Cramer, Benjamin S * COMMENT: reported age relative to start of PETM reported by Cramer et al. (2003)
	Age model [ka] (Age model) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: estimated age on Option 1 time by Westerhold et al. (2008) as determined by linear sedimentaton between six polarity chron reversals and data on a mcd depth scale
	Age, relative [ka] (Age rel) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: estimated age relative to start of PETM using information in this paper
	Comment (Comment) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: Blue horizons are approximate positions of polarity chron reversals; green horizons are positions of known hyperthermal events. Note that ages given for hyperthermals differ from those estimated, which may reflect inaccurate ages for the hyperthermals or differential sedimentation between chosen polarity chrons.
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	6140 data points
*/
Label	Depth [m]	Depth top [m]	Void corr [m]	Depth revised [m]	Offset [m]	Depth c [mcd]	d13C carb [per mil PDB]	d18O carb [per mil PDB]	Age rel [ka] (reported age relative to star...)	Age model [ka]	Age rel [ka] (estimated age relative to sta...)	Comment
86-577-9-3,103-104	77.33	73.3	0.00	77.33	0.0	77.33	1.27	-0.31	2300	52980	2730	
86-577-9-3,105-106	77.35	73.3	0.00	77.35	0.0	77.35	1.12	-0.48	2290	52990	2720	
86-577-9-3,106-107	77.36	73.3	0.00	77.36	0.0	77.36	1.20	-0.53	2290	52990	2720	
86-577-9-3,108-109	77.38	73.3	0.00	77.38	0.0	77.38	1.28	-0.30	2280	53000	2710	
86-577-9-3,109-110	77.39	73.3	0.00	77.39	0.0	77.39	1.19	-0.31	2280	53010	2700	
86-577-9-3,111-112	77.41	73.3	0.00	77.41	0.0	77.41	1.16	-0.27	2280	53010	2700	
86-577-9-3,112-113	77.42	73.3	0.00	77.42	0.0	77.42	1.22	-0.34	2270	53020	2690	
86-577-9-3,114-115	77.44	73.3	0.00	77.44	0.0	77.44	1.15	-0.30	2270	53030	2680	
86-577-9-3,116-117	77.46	73.3	0.00	77.46	0.0	77.46	1.13	-0.41	2260	53030	2680	
86-577-9-3,117-118	77.47	73.3	0.00	77.47	0.0	77.47	1.15	-0.43	2260	53040	2670	
86-577-9-3,119-120	77.49	73.3	0.00	77.49	0.0	77.49	1.17	-0.45	2250	53040	2670	
86-577-9-3,120-121	77.50	73.3	0.00	77.50	0.0	77.50	1.18	-0.39	2250	53050	2660	
86-577-9-3,122-123	77.52	73.3	0.00	77.52	0.0	77.52	1.19	-0.41	2240	53060	2650	
86-577-9-3,123-124	77.53	73.3	0.00	77.53	0.0	77.53	1.04	-0.46	2240	53060	2650	
86-577-9-3,125-126	77.55	73.3	0.00	77.55	0.0	77.55	1.15	-0.47	2240	53070	2640	
86-577-9-3,126-127	77.56	73.3	0.00	77.56	0.0	77.56	1.14	-0.40	2230	53070	2640	
86-577-9-3,128-129	77.58	73.3	0.00	77.58	0.0	77.58	1.06	-0.37	2230	53080	2630	
86-577-9-3,130-131	77.60	73.3	0.00	77.60	0.0	77.60	1.09	-0.51	2220	53090	2620	
86-577-9-3,131-132	77.61	73.3	0.00	77.61	0.0	77.61	1.17	-0.64	2220	53090	2620	
86-577-9-3,133-134	77.63	73.3	0.00	77.63	0.0	77.63	1.11	-0.55	2210	53100	2610	
86-577-9-3,135-136	77.65	73.3	0.00	77.65	0.0	77.65	1.20	-0.50	2210	53110	2600	
86-577-9-3,136-137	77.66	73.3	0.00	77.66	0.0	77.66	1.16	-0.46	2200	53110	2600	
86-577-9-3,138-139	77.68	73.3	0.00	77.68	0.0	77.68	1.20	-0.49	2200	53120	2590	
86-577-9-3,140-141	77.70	73.3	0.00	77.70	0.0	77.70	1.29	-0.60	2190	53120	2590	
86-577-9-3,141-142	77.71	73.3	0.00	77.71	0.0	77.71	1.39	-0.40	2190	53130	2580	
86-577-9-3,143-144	77.73	73.3	0.00	77.73	0.0	77.73	1.40	-0.64	2180	53140	2570	
86-577-9-3,145-146	77.75	73.3	0.00	77.75	0.0	77.75	1.41	-0.42	2170	53140	2570	
86-577-9-3,145-146	77.75	73.3	0.00	77.75	0.0	77.75	1.41	-0.47	2170	53140	2570	
86-577-9-3,146-147	77.76	73.3	0.00	77.76	0.0	77.76	1.38	-0.56	2160	53150	2560	
86-577-9-3,148-149	77.78	73.3	0.00	77.78	0.0	77.78	1.46	-0.49	2150	53160	2550	
86-577-9-3,149-150	77.79	73.3	0.00	77.79	0.0	77.79	1.45	-0.49	2140	53160	2550	
86-577-9-4,1-2	77.81	73.3	0.00	77.81	0.0	77.81	1.50	-0.55	2130	53170	2540	
86-577-9-4,2-3	77.82	73.3	0.00	77.82	0.0	77.82	1.29	-0.52	2130	53170	2540	
86-577-9-4,4-5	77.84	73.3	0.00	77.84	0.0	77.84	1.49	-0.42	2120	53180	2530	
86-577-9-4,5-6	77.85	73.3	0.00	77.85	0.0	77.85	1.42	-0.54	2110	53180	2530	
86-577-9-4,6-7	77.86	73.3	0.00	77.86	0.0	77.86	1.35	-0.74	2110	53190	2520	
86-577-9-4,8-9	77.88	73.3	0.00	77.88	0.0	77.88	1.45	-0.67	2100	53190	2520	
86-577-9-4,9-10	77.89	73.3	0.00	77.89	0.0	77.89	1.40	-0.69	2090	53200	2510	
86-577-9-4,10-11	77.90	73.3	0.00	77.90	0.0	77.90	1.45	-0.73	2090	53200	2510	
86-577-9-4,11-12	77.91	73.3	0.00	77.91	0.0	77.91	1.46	-0.61	2080	53200	2510	
86-577-9-4,12-13	77.92	73.3	0.00	77.92	0.0	77.92	1.48	-0.64	2080	53210	2500	
86-577-9-4,13-14	77.93	73.3	0.00	77.93	0.0	77.93	1.45	-0.61	2070	53210	2500	
86-577-9-4,14-15	77.94	73.3	0.00	77.94	0.0	77.94	1.42	-0.62	2070	53220	2490	
86-577-9-4,14-15	77.94	73.3	0.00	77.94	0.0	77.94	1.44	-0.57	2070	53220	2490	
86-577-9-4,15-16	77.95	73.3	0.00	77.95	0.0	77.95	1.47	-0.60	2060	53220	2490	
86-577-9-4,16-17	77.96	73.3	0.00	77.96	0.0	77.96	1.41	-0.57	2060	53220	2490	
86-577-9-4,17-18	77.97	73.3	0.00	77.97	0.0	77.97	1.39	-0.71	2050	53230	2480	
86-577-9-4,18-19	77.98	73.3	0.00	77.98	0.0	77.98	1.45	-0.43	2050	53230	2480	
86-577-9-4,19-20	77.99	73.3	0.00	77.99	0.0	77.99	1.50	-0.47	2040	53240	2470	
86-577-9-4,20-21	78.00	73.3	0.00	78.00	0.0	78.00	1.41	-0.37	2030	53240	2470	
86-577-9-4,21-22	78.01	73.3	0.00	78.01	0.0	78.01	1.44	-0.40	2030	53240	2470	
86-577-9-4,22-23	78.02	73.3	0.00	78.02	0.0	78.02	1.43	-0.39	2020	53250	2460	
86-577-9-4,23-24	78.03	73.3	0.00	78.03	0.0	78.03	1.47	-0.46	2020	53250	2460	
86-577-9-4,24-25	78.04	73.3	0.00	78.04	0.0	78.04	1.47	-0.41	2010	53250	2460	
86-577-9-4,25-26	78.05	73.3	0.00	78.05	0.0	78.05	1.46	-0.39	2010	53260	2450	
86-577-9-4,26-27	78.06	73.3	0.00	78.06	0.0	78.06	1.35	-0.52	2000	53260	2450	
86-577-9-4,28-29	78.08	73.3	0.00	78.08	0.0	78.08	1.39	-0.49	1990	53270	2440	
86-577-9-4,29-30	78.09	73.3	0.00	78.09	0.0	78.09	1.42	-0.45	1990	53270	2440	
86-577-9-4,30-31	78.10	73.3	0.00	78.10	0.0	78.10	1.41	-0.40	1980	53280	2430	
86-577-9-4,32-33	78.12	73.3	0.00	78.12	0.0	78.12	1.39	-0.47	1970	53280	2430	
86-577-9-4,33-34	78.13	73.3	0.00	78.13	0.0	78.13	1.35	-0.56	1970	53290	2420	
86-577-9-4,35-36	78.15	73.3	0.00	78.15	0.0	78.15	1.34	-0.53	1960	53300	2410	
86-577-9-4,36-37	78.16	73.3	0.00	78.16	0.0	78.16	1.35	-0.53	1950	53300	2410	
86-577-9-4,38-39	78.18	73.3	0.00	78.18	0.0	78.18	1.39	-0.45	1940	53310	2400	
86-577-9-4,40-41	78.20	73.3	0.00	78.20	0.0	78.20	1.36	-0.51	1930	53320	2390	
86-577-9-4,41-42	78.21	73.3	0.00	78.21	0.0	78.21	1.36	-0.39	1920	53320	2390	
86-577-9-4,43-44	78.23	73.3	0.00	78.23	0.0	78.23	1.37	-0.26	1910	53330	2380	
86-577-9-4,45-46	78.25	73.3	0.00	78.25	0.0	78.25	1.36	-0.37	1900	53330	2380	Top C24n.3n, 53.03 Ma
86-577-9-4,47-48	78.27	73.3	0.00	78.27	0.0	78.27	1.33	-0.30	1890	53340	2370	
86-577-9-4,48-49	78.28	73.3	0.00	78.28	0.0	78.28	1.39	-0.28	1890	53350	2360	
86-577-9-4,50-51	78.30	73.3	0.00	78.30	0.0	78.30	1.35	-0.24	1880	53350	2360	
86-577-9-4,52-53	78.32	73.3	0.00	78.32	0.0	78.32	1.20	-0.30	1870	53360	2350	
86-577-9-4,54-55	78.34	73.3	0.00	78.34	0.0	78.34	1.21	-0.27	1860	53370	2340	
86-577-9-4,55-56	78.35	73.3	0.00	78.35	0.0	78.35	1.17	-0.36	1850	53370	2340	I2, 53.23 Ma
86-577-9-4,56-57	78.36	73.3	0.00	78.36	0.0	78.36	1.20	-0.41	1850	53380	2330	
86-577-9-4,57-58	78.37	73.3	0.00	78.37	0.0	78.37	1.23	-0.44	1840	53380	2330	
86-577-9-4,59-60	78.39	73.3	0.00	78.39	0.0	78.39	1.26	-0.53	1830	53390	2320	
86-577-9-4,61-62	78.41	73.3	0.00	78.41	0.0	78.41	1.20	-0.41	1820	53400	2310	
86-577-9-4,63-64	78.43	73.3	0.00	78.43	0.0	78.43	1.38	-0.43	1810	53400	2310	
86-577-9-4,65-66	78.45	73.3	0.00	78.45	0.0	78.45	1.42	-0.32	1800	53410	2300	
86-577-9-4,67-68	78.47	73.3	0.00	78.47	0.0	78.47	1.38	-0.30	1790	53420	2290	
86-577-9-4,69-70	78.49	73.3	0.00	78.49	0.0	78.49	1.35	-0.27	1790	53430	2280	
86-577-9-4,71-72	78.51	73.3	0.00	78.51	0.0	78.51	1.36	-0.22	1780	53430	2280	
86-577-9-4,73-74	78.53	73.3	0.00	78.53	0.0	78.53	1.30	-0.28	1770	53440	2270	
86-577-9-4,75-76	78.55	73.3	0.00	78.55	0.0	78.55	1.14	-0.26	1760	53450	2260	
86-577-9-4,77-78	78.57	73.3	0.00	78.57	0.0	78.57	1.07	-0.37	1750	53460	2250	
86-577-9-4,79-80	78.59	73.3	0.00	78.59	0.0	78.59	1.04	-0.37	1750	53460	2250	
86-577-9-4,81-82	78.61	73.3	0.00	78.61	0.0	78.61	1.09	-0.37	1740	53470	2240	
86-577-9-4,83-84	78.63	73.3	0.00	78.63	0.0	78.63	1.11	-0.23	1730	53480	2230	
86-577-9-4,85-86	78.65	73.3	0.00	78.65	0.0	78.65	1.05	-0.43	1720	53490	2220	I1, 53.33 Ma
86-577-9-4,87-88	78.67	73.3	0.00	78.67	0.0	78.67	1.15	-0.51	1710	53500	2210	
86-577-9-4,88-89	78.68	73.3	0.00	78.68	0.0	78.68	1.39	-0.56	1710	53500	2210	
86-577-9-4,90-91	78.70	73.3	0.00	78.70	0.0	78.70	1.54	-0.29	1700	53510	2200	
86-577-9-4,92-93	78.72	73.3	0.00	78.72	0.0	78.72	1.56	-0.24	1690	53510	2200	
86-577-9-4,94-95	78.74	73.3	0.00	78.74	0.0	78.74	1.51	-0.18	1680	53520	2190	
86-577-9-4,96-97	78.76	73.3	0.00	78.76	0.0	78.76	1.58	-0.13	1680	53530	2180	
86-577-9-4,97-98	78.77	73.3	0.00	78.77	0.0	78.77	1.54	-0.23	1670	53530	2180	
86-577-9-4,99-100	78.79	73.3	0.00	78.79	0.0	78.79	1.53	-0.25	1660	53540	2170	
86-577-9-4,101-102	78.81	73.3	0.00	78.81	0.0	78.81	1.69	-0.45	1650	53550	2160	
86-577-9-4,102-103	78.82	73.3	0.00	78.82	0.0	78.82	1.51	-0.49	1650	53550	2160	
86-577-9-4,104-105	78.84	73.3	0.00	78.84	0.0	78.84	1.59	-0.50	1640	53560	2150	
86-577-9-4,106-107	78.86	73.3	0.00	78.86	0.0	78.86	1.58	-0.53	1630	53570	2140	
86-577-9-4,107-108	78.87	73.3	0.00	78.87	0.0	78.87	1.57	-0.47	1630	53570	2140	
86-577-9-4,109-110	78.89	73.3	0.00	78.89	0.0	78.89	1.64	-0.39	1620	53580	2130	
86-577-9-4,111-112	78.91	73.3	0.00	78.91	0.0	78.91	1.54	-0.50	1610	53590	2120	
86-577-9-4,112-113	78.92	73.3	0.00	78.92	0.0	78.92	1.66	-0.56	1610	53590	2120	
86-577-9-4,114-115	78.94	73.3	0.00	78.94	0.0	78.94	1.54	-0.43	1600	53600	2110	
86-577-9-4,116-117	78.96	73.3	0.00	78.96	0.0	78.96	1.48	-0.31	1590	53610	2100	
86-577-9-4,118-119	78.98	73.3	0.00	78.98	0.0	78.98	1.48	-0.54	1580	53610	2100	
86-577-9-4,120-121	79.00	73.3	0.00	79.00	0.0	79.00	1.51	-0.45	1570	53620	2090	
86-577-9-4,122-123	79.02	73.3	0.00	79.02	0.0	79.02	1.61	-0.14	1570	53630	2080	
86-577-9-4,124-125	79.04	73.3	0.00	79.04	0.0	79.04	1.51	-0.42	1560	53640	2070	
86-577-9-4,126-127	79.06	73.3	0.00	79.06	0.0	79.06	1.49	-0.37	1550	53640	2070	
86-577-9-4,127-128	79.07	73.3	0.00	79.07	0.0	79.07	1.45	-0.41	1540	53650	2060	
86-577-9-4,129-130	79.09	73.3	0.00	79.09	0.0	79.09	1.48	-0.28	1540	53660	2050	
86-577-9-4,131-132	79.11	73.3	0.00	79.11	0.0	79.11	1.39	-0.47	1530	53660	2050	
86-577-9-4,133-134	79.13	73.3	0.00	79.13	0.0	79.13	1.35	-0.31	1520	53670	2040	
86-577-9-4,135-136	79.15	73.3	0.00	79.15	0.0	79.15	1.28	-0.22	1510	53680	2030	
86-577-9-4,137-138	79.17	73.3	0.00	79.17	0.0	79.17	1.26	-0.28	1500	53690	2020	
86-577-9-4,139-140	79.19	73.3	0.00	79.19	0.0	79.19	1.22	-0.42	1490	53690	2020	
86-577-9-4,141-142	79.21	73.3	0.00	79.21	0.0	79.21	1.24	-0.29	1490	53700	2010	
86-577-9-4,143-144	79.23	73.3	0.00	79.23	0.0	79.23	1.13	-0.41	1480	53710	2000	
86-577-9-4,145-146	79.25	73.3	0.00	79.25	0.0	79.25	1.08	-0.41	1470	53720	1990	
86-577-9-4,147-148	79.27	73.3	0.00	79.27	0.0	79.27	1.15	-0.33	1460	53720	1990	
86-577-9-4,149-150	79.29	73.3	0.00	79.29	0.0	79.29	1.07	-0.47	1450	53730	1980	H2, 53.63 Ma
86-577-9-5,0-1	79.30	73.3	0.00	79.30	0.0	79.30	1.22	-0.48	1450	53740	1970	
86-577-9-5,3-4	79.30	73.3	0.00	79.33	0.0	79.33	1.13	-0.64	1450	53750	1960	
86-577-9-5,3-4	79.30	73.3	0.00	79.33	0.0	79.33	1.15	-0.43	1450	53750	1960	
86-577-9-5,5-6	79.32	73.3	0.00	79.35	0.0	79.35	1.24	-0.54	1440	53760	1950	
86-577-9-5,5-6	79.32	73.3	0.00	79.35	0.0	79.35	1.22	-0.53	1440	53760	1950	
86-577-9-5,7-8	79.34	73.3	0.00	79.37	0.0	79.37	1.27	-0.54	1430	53760	1950	
86-577-9-5,7-8	79.34	73.3	0.00	79.37	0.0	79.37	1.30	-0.54	1430	53760	1950	
86-577-9-5,9-10	79.36	73.3	0.00	79.39	0.0	79.39	1.36	-0.49	1420	53770	1940	
86-577-9-5,9-10	79.36	73.3	0.00	79.39	0.0	79.39	1.28	-0.59	1420	53770	1940	
86-577-9-5,12-13	79.39	73.3	0.00	79.42	0.0	79.42	1.37	-0.42	1420	53780	1930	
86-577-9-5,12-13	79.39	73.3	0.00	79.42	0.0	79.42	1.41	-0.34	1420	53780	1930	
86-577-9-5,14-15	79.41	73.3	0.00	79.44	0.0	79.44	1.40	-0.46	1410	53790	1920	
86-577-9-5,14-15	79.41	73.3	0.00	79.44	0.0	79.44	1.40	-0.42	1410	53790	1920	
86-577-9-5,16-17	79.43	73.3	0.00	79.46	0.0	79.46	1.42	-0.44	1410	53800	1910	
86-577-9-5,16-17	79.43	73.3	0.00	79.46	0.0	79.46	1.37	-0.36	1410	53800	1910	
86-577-9-5,18-19	79.45	73.3	0.00	79.48	0.0	79.48	1.39	-0.39	1400	53800	1910	
86-577-9-5,18-19	79.45	73.3	0.00	79.48	0.0	79.48	1.36	-0.38	1400	53800	1910	
86-577-9-5,20-21	79.47	73.3	0.00	79.50	0.0	79.50	1.42	-0.47	1400	53810	1900	
86-577-9-5,20-21	79.47	73.3	0.00	79.50	0.0	79.50	1.33	-0.45	1400	53810	1900	
86-577-9-5,23-24	79.50	73.3	0.00	79.53	0.0	79.53	1.38	-0.51	1390	53820	1890	
86-577-9-5,23-24	79.50	73.3	0.00	79.53	0.0	79.53	1.36	-0.27	1390	53820	1890	
86-577-9-5,25-26	79.52	73.3	0.00	79.55	0.0	79.55	1.33	-0.48	1390	53830	1880	
86-577-9-5,25-26	79.52	73.3	0.00	79.55	0.0	79.55	1.37	-0.43	1390	53830	1880	
86-577-9-5,27-28	79.54	73.3	0.00	79.57	0.0	79.57	1.29	-0.25	1380	53840	1870	
86-577-9-5,27-28	79.54	73.3	0.00	79.57	0.0	79.57	1.13	-0.73	1380	53840	1870	
86-577-9-5,29-30	79.56	73.3	0.00	79.59	0.0	79.59	1.23	-0.31	1380	53850	1860	
86-577-9-5,29-30	79.56	73.3	0.00	79.59	0.0	79.59	1.25	-0.36	1380	53850	1860	
86-577-9-5,31-32	79.58	73.3	0.00	79.61	0.0	79.61	1.17	-0.28	1370	53850	1860	
86-577-9-5,31-32	79.58	73.3	0.00	79.61	0.0	79.61	1.18	-0.37	1370	53850	1860	
86-577-9-5,33-34	79.60	73.3	0.00	79.63	0.0	79.63	0.91	-0.75	1370	53860	1850	
86-577-9-5,33-34	79.60	73.3	0.00	79.63	0.0	79.63	1.26	-0.23	1370	53860	1850	
86-577-9-5,35-36	79.62	73.3	0.00	79.65	0.0	79.65	1.12	-0.20	1360	53870	1840	
86-577-9-5,35-36	79.62	73.3	0.00	79.65	0.0	79.65	1.12	-0.27	1360	53870	1840	
86-577-9-5,37-38	79.64	73.3	0.00	79.67	0.0	79.67	1.08	-0.38	1360	53880	1830	
86-577-9-5,37-38	79.64	73.3	0.00	79.67	0.0	79.67	1.06	-0.29	1360	53880	1830	
86-577-9-5,39-40	79.66	73.3	0.00	79.69	0.0	79.69	0.99	-0.65	1350	53890	1820	
86-577-9-5,39-40	79.66	73.3	0.00	79.69	0.0	79.69	0.90	-0.47	1350	53890	1820	
86-577-9-5,42-43	79.69	73.3	0.00	79.72	0.0	79.72	0.95	-0.61	1340	53900	1810	Base C24n.3n, 53.53 Ma
86-577-9-5,42-43	79.69	73.3	0.00	79.72	0.0	79.72	0.83	-0.48	1340	53900	1810	
86-577-9-5,44-45	79.71	73.3	0.00	79.74	0.0	79.74	0.83	-0.74	1340	53900	1810	
86-577-9-5,44-45	79.71	73.3	0.00	79.74	0.0	79.74	0.90	-0.43	1340	53900	1810	
86-577-9-5,46-47	79.73	73.3	0.00	79.76	0.0	79.76	0.86	-0.49	1340	53910	1800	
86-577-9-5,46-47	79.73	73.3	0.00	79.76	0.0	79.76	0.88	-1.01	1340	53910	1800	
86-577-9-5,48-49	79.75	73.3	0.00	79.78	0.0	79.78	0.84	-0.68	1330	53920	1790	
86-577-9-5,48-49	79.75	73.3	0.00	79.78	0.0	79.78	0.79	-0.86	1330	53920	1790	H1, 53.73 Ma
86-577-9-5,50-51	79.77	73.3	0.00	79.80	0.0	79.80	0.87	-1.01	1330	53930	1780	
86-577-9-5,50-51	79.77	73.3	0.00	79.80	0.0	79.80	0.87	-0.63	1330	53930	1780	
86-577-9-5,52-53	79.79	73.3	0.00	79.82	0.0	79.82	1.17	-0.61	1320	53930	1780	
86-577-9-5,52-53	79.79	73.3	0.00	79.82	0.0	79.82	1.34	-1.02	1320	53930	1780	
86-577-9-5,54-55	79.81	73.3	0.00	79.84	0.0	79.84	1.29	-0.77	1310	53940	1770	
86-577-9-5,54-55	79.81	73.3	0.00	79.84	0.0	79.84	1.41	-0.51	1310	53940	1770	
86-577-9-5,56-57	79.83	73.3	0.00	79.86	0.0	79.86	1.27	-0.91	1300	53950	1760	
86-577-9-5,56-57	79.83	73.3	0.00	79.86	0.0	79.86	1.47	-0.53	1300	53950	1760	
86-577-9-5,57-58	79.84	73.3	0.00	79.87	0.0	79.87	1.21	-0.82	1300	53950	1760	
86-577-9-5,57-58	79.84	73.3	0.00	79.87	0.0	79.87	1.41	-0.51	1300	53950	1760	
86-577-9-5,59-60	79.86	73.3	0.00	79.89	0.0	79.89	1.40	-0.76	1290	53960	1750	
86-577-9-5,59-60	79.86	73.3	0.00	79.89	0.0	79.89	1.43	-0.50	1290	53960	1750	
86-577-9-5,61-62	79.88	73.3	0.00	79.91	0.0	79.91	1.59	-0.64	1280	53970	1740	
86-577-9-5,61-62	79.88	73.3	0.00	79.91	0.0	79.91	1.42	-0.49	1280	53970	1740	
86-577-9-5,63-64	79.90	73.3	0.00	79.93	0.0	79.93	1.42	-0.96	1270	53980	1730	
86-577-9-5,63-64	79.90	73.3	0.00	79.93	0.0	79.93	1.61	-0.90	1270	53980	1730	
86-577-9-5,65-66	79.92	73.3	0.00	79.95	0.0	79.95	1.55	-0.78	1270	53980	1730	
86-577-9-5,66-67	79.93	73.3	0.00	79.96	0.0	79.96	1.48	-0.73	1260	53990	1720	
86-577-9-5,68-69	79.95	73.3	0.00	79.98	0.0	79.98	1.68	-0.73	1250	54000	1710	
86-577-9-5,70-71	79.97	73.3	0.00	80.00	0.0	80.00	1.65	-0.87	1240	54000	1710	
86-577-9-5,71-72	79.98	73.3	0.00	80.01	0.0	80.01	1.61	-0.87	1240	54010	1700	
86-577-9-5,73-74	80.00	73.3	0.00	80.03	0.0	80.03	1.54	-0.81	1230	54020	1690	
86-577-9-5,74-75	80.01	73.3	0.00	80.04	0.0	80.04	1.57	-0.84	1230	54020	1690	
86-577-9-5,76-77	80.03	73.3	0.00	80.06	0.0	80.06	1.54	-0.66	1220	54030	1680	
86-577-9-5,77-78	80.04	73.3	0.00	80.07	0.0	80.07	1.64	-0.81	1220	54030	1680	
86-577-9-5,78-79	80.05	73.3	0.00	80.08	0.0	80.08	1.60	-0.75	1210	54030	1680	
86-577-9-5,80-81	80.07	73.3	0.00	80.10	0.0	80.10	1.55	-0.92	1200	54040	1670	
86-577-9-5,81-82	80.08	73.3	0.00	80.11	0.0	80.11	1.53	-0.76	1200	54050	1660	
86-577-9-5,82-83	80.09	73.3	0.00	80.12	0.0	80.12	1.55	-0.91	1200	54050	1660	
86-577-9-5,83-84	80.10	73.3	0.00	80.13	0.0	80.13	1.60	-0.76	1190	54050	1660	
86-577-9-5,84-85	80.11	73.3	0.00	80.14	0.0	80.14	1.49	-0.83	1190	54060	1650	
86-577-9-5,86-87	80.13	73.3	0.00	80.16	0.0	80.16	1.49	-0.72	1180	54060	1650	
86-577-9-5,87-88	80.14	73.3	0.00	80.17	0.0	80.17	1.56	-0.67	1170	54070	1640	
86-577-9-5,88-89	80.15	73.3	0.00	80.18	0.0	80.18	1.61	-0.76	1170	54070	1640	
86-577-9-5,89-90	80.16	73.3	0.00	80.19	0.0	80.19	1.71	-0.79	1170	54080	1630	
86-577-9-5,90-91	80.17	73.3	0.00	80.20	0.0	80.20	1.69	-0.72	1160	54080	1630	
86-577-9-5,91-92	80.18	73.3	0.00	80.21	0.0	80.21	1.49	-0.54	1160	54080	1630	
86-577-9-5,92-93	80.19	73.3	0.00	80.22	0.0	80.22	1.63	-0.65	1150	54090	1620	
86-577-9-5,96-97	80.23	73.3	0.00	80.26	0.0	80.26	1.56	-0.55	1140	54100	1610	
86-577-9-5,101-102	80.28	73.3	0.00	80.31	0.0	80.31	1.54	-0.58	1120	54120	1590	
