/* DATA DESCRIPTION:
Citation:	Dickens, GR; Backman, J (2013): (Table S8) Recalibrated depth and ages for previously published stable isotope data from DSDP Site 86-577. doi:10.1594/PANGAEA.809130, 
	In Supplement to: Dickens, Gerald Roy; Backman, Jan (2013): Core alignment and composite depth scale for the lower Paleogene through uppermost Cretaceous interval at Deep Sea Drilling Project Site 577. Newsletters on Stratigraphy
Related to:	Shackleton, Nicholas J; Hall, Michael A; Bleil, Ulrich (1985): Carbon-isotope stratigraphy, Site 577. In: Heath GR; Burckle LH; et al. (eds.), Initial Reports of the Deep Sea Drilling Project, Washington (U.S. Govt. Printing Office), 86, 503-510, doi:10.2973/dsdp.proc.86.119.1985
	Westerhold, Thomas; Röhl, Ursula; Laskar, Jacques (2012): Time scale controversy: Accurate orbital calibration of early Paleogene. Geochemistry Geophysics Geosystems, 13, Q06015, doi:10.1029/2012GC004096
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, doi:10.1016/j.palaeo.2007.09.016
Original version:	Shackleton, Nicholas J; Hall, Michael A; Bleil, Ulrich (1985): (Table 1) Carbon- and oxygen-isotopes for bulk sediment carbonate at DSDP Holes 86-577 and 86-577A. doi:10.1594/PANGAEA.802303
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	MEDIAN LATITUDE: 32.442000 * MEDIAN LONGITUDE: 157.723250 * SOUTH-BOUND LATITUDE: 32.441800 * WEST-BOUND LONGITUDE: 157.723200 * NORTH-BOUND LATITUDE: 32.442200 * EAST-BOUND LONGITUDE: 157.723300
	MINIMUM DEPTH, sediment/rock: 68.3 m * MAXIMUM DEPTH, sediment/rock: 104.2 m
Event(s):	86-577 * LATITUDE: 32.441800 * LONGITUDE: 157.723300 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 111.10 m * PENETRATION: 118.80 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 118.8 m cored; 0 m drilled; 93.5 % recovery
	86-577A * LATITUDE: 32.442200 * LONGITUDE: 157.723200 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 110.80 m * PENETRATION: 123.40 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 123.4 m cored; 0 m drilled; 89.8 % recovery
Comment:	Placement of previously published bulk and benthic foraminifera stable carbon isotope data for Upper Cretaceous and Lower Paleogene sediment at DSDP Site 577 according to composite depth scale and an updated time scale (Westerhold et al., 2008, 2012). Isotope data were reported by Shackleton et al. (1985). DEPTH, sediment is the depth [mbsf] reported by Shackleton et al. (1985). Note that depths for CC samples are not consistent with core logs.
Parameter(s):	Event label (Event) * Metadata
	Sample code/label (Label) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001) * COMMENT: we have relabled core catcher (CC) samples as an additional section for purposes of math; given in brackets
	DEPTH, sediment/rock [m] (Depth) * Geocode
	Depth, top/min [m] (Depth top) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: core top [mbsf], reported according to drillers table (Shipboard Scientific Party, 1985) and with positions of CC intervals from core logs
	Void correction [m] (Void corr) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, sediment revised [m] (Depth revised) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: fix [mbsf], assuming average interval distance and the above
	Offset [m] (Offset) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: offset of cores from Table 2
	Depth, composite [mcd] (Depth c) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: adjusted, the depth of the sample in floating depth space [mcd] relative to m below seafloor
	delta 13C, carbonate [per mil PDB] (d13C carb) * PI: Shackleton, Nicholas J (URL: http://en.wikipedia.org/wiki/Nicholas_Shackleton)
	delta 18O, carbonate [per mil PDB] (d18O carb) * PI: Shackleton, Nicholas J (URL: http://en.wikipedia.org/wiki/Nicholas_Shackleton)
	Age model [ka] (Age model) * PI: Shackleton, Nicholas J (URL: http://en.wikipedia.org/wiki/Nicholas_Shackleton) * COMMENT: reported age
	Age model, optional [ka] (Age model opt) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: estimated age on Option 1 time by Westerhold et al. (2008) as determined by linear sedimentaton between six polarity chron reversals and data on a mcd depth scale
	Age model, optional [ka] (Age model opt) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: age as above, but assuming no core gaps and overlaps
	Comment (Comment) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: blue horizons are approximate positions of polarity chron reversals
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	2115 data points
*/
Event	Label	Depth [m]	Depth top [m]	Void corr [m]	Depth revised [m]	Offset [m]	Depth c [mcd]	d13C carb [per mil PDB]	d18O carb [per mil PDB]	Age model [ka]	Age model opt [ka] (estimated age on Option 1 tim...)	Age model opt [ka] (age as above, but assuming no...)	Comment
86-577A	86-577A-10H-2,79-81	87.70	85.4	0.00	87.70	1.8	89.50	3.55	-1.06	59250	57480		
86-577A	86-577A-10H-2,90-91	87.80	85.4	0.00	87.81	1.8	89.61	3.51	-1.06	59280	57510		
86-577A	86-577A-10H-2,120-121	88.10	85.4	0.00	88.11	1.8	89.91	3.66	-0.92	59370	57610		
86-577A	86-577A-10H-2,129-131	88.20	85.4	0.00	88.20	1.8	90.00	3.88	-0.96	59390	57640		
86-577A	86-577A-10H-3,0-1	88.40	85.4	0.00	88.41	1.8	90.21	3.75	-0.92	59450	57700		
86-577A	86-577A-10H-3,29-30	88.69	85.4	0.00	88.70	1.8	90.50	3.86	-0.76	59530	57790		
86-577A	86-577A-10H-3,29-31	88.70	85.4	0.00	88.70	1.8	90.50	3.74	-1.11	59530	57800		
86-577A	86-577A-10H-3,58-59	88.98	85.4	0.00	88.99	1.8	90.79	3.83	-0.88	59610	57890		
86-577A	86-577A-10H-3,70-72	89.11	85.4	0.00	89.11	1.8	90.91	3.85	-1.02	59650	57930		
86-577A	86-577A-10H-3,90-91	89.30	85.4	0.00	89.31	1.8	91.11	3.77	-0.89	59700	57990		
86-577A	86-577A-10H-3,99-101	89.40	85.4	0.00	89.40	1.8	91.20	3.89	-0.85	59730	58020		
86-577A	86-577A-10H-3,120-121	89.60	85.4	0.00	89.61	1.8	91.41	3.79	-0.82	59790	58090		
86-577A	86-577A-10H-4,0-1	89.90	85.4	0.00	89.91	1.8	91.71	3.74	-0.82	59870	58180		
86-577A	86-577A-10H-4,28-29	90.18	85.4	0.00	90.19	1.8	91.99	3.52	-0.77	59950	58270		
86-577A	86-577A-10H-4,30-32	90.21	85.4	0.00	90.21	1.8	92.01	3.61	-0.70	59960	58280		
86-577A	86-577A-10H-4,60-61	90.50	85.4	0.00	90.51	1.8	92.31	3.39	-0.56	60040	58370		
86-577A	86-577A-10H-4,80-82	90.71	85.4	0.00	90.71	1.8	92.51						Values: d13C: 2.48 per mil, d18O -0.62 per mil missing in the plots by Shackleton et al. (1986), so we have removed.
86-577A	86-577A-10H-4,90-91	90.80	85.4	0.00	90.81	1.8	92.61	3.52	-0.56	60120	58470		
86-577A	86-577A-10H-4,118-119	91.08	85.4	0.00	91.09	1.8	92.89	3.39	-0.56	60200	58560		
86-577A	86-577A-10H-4,129-131	91.20	85.4	0.00	91.20	1.8	93.00	3.58	-0.39	60230	58600		
86-577A	86-577A-10H-5,0-1	91.40	85.4	0.00	91.41	1.8	93.21	3.50	-0.93	60290	58660		
86-577A	86-577A-10H-5,30-31	91.70	85.4	0.00	91.71	1.8	93.51	3.40	-0.96	60370	58760		
86-577A	86-577A-10H-5,31-33	91.72	85.4	0.00	91.72	1.8	93.52	3.38	-1.02	60380	58760		
86-577A	86-577A-10H-5,60-61	92.00	85.4	0.00	92.01	1.8	93.81	3.48	-0.96	60460	58850		
86-577A	86-577A-10H-5,80-82	92.21	85.4	0.00	92.21	1.8	94.01	3.49	-0.92	61250	58920		
86-577A	86-577A-10H-5,90-91	92.30	85.4	0.00	92.31	1.8	94.11	3.52	-0.84	61270	58950		
86-577A	86-577A-10H-5,120-121	92.60	85.4	0.00	92.61	1.8	94.41	3.36	-0.84	61330	59050		
86-577A	86-577A-10H-5,129-131	92.70	85.4	0.00	92.70	1.8	94.50	3.20	-0.79	61350	59080		
86-577A	86-577A-10H-6,0-1	92.90	85.4	0.00	92.91	1.8	94.71	3.11	-0.71	61390	59140		
86-577A	86-577A-10H-6,30-31	93.20	85.4	0.00	93.21	1.8	95.01	3.02	-0.65	61450	59240		
86-577A	86-577A-10H-6,34-36	93.25	85.4	0.00	93.25	1.8	95.05	3.03	-0.80	61470	59250		We think there is a typographical error in the interval for this table by Shackleton et al. (1886) and have amended accordingly
86-577A	86-577A-10H-6,60-61	93.50	85.4	0.00	93.51	1.8	95.31	3.12	-0.76	61520	59330		
86-577A	86-577A-11H-1,0-1	94.90	94.9	0.00	94.91	2.1	97.01	2.88	-0.61	61800	59880		
86-577A	86-577A-11H-1,30-31	95.20	94.9	0.00	95.21	2.1	97.31	2.74	-0.68	61860	59970		
86-577A	86-577A-11H-1,60-61	95.50	94.9	0.00	95.51	2.1	97.61	2.75	-0.70	61920	60070		
86-577A	86-577A-11H-1,90-91	95.80	94.9	0.00	95.81	2.1	97.91	2.85	-0.54	61980	60170		
86-577A	86-577A-11H-1,120-121	96.10	94.9	0.00	96.11	2.1	98.21	2.81	-0.58	62040	60260		
86-577A	86-577A-11H-2,0-1	96.40	94.9	0.00	96.41	2.1	98.51	2.81	-0.52	62110	60360		
86-577A	86-577A-11H-2,30-31	96.70	94.9	0.00	96.71	2.1	98.81	2.78	-0.32	62170	60450		
86-577A	86-577A-11H-2,60-61	97.00	94.9	0.00	97.01	2.1	99.11	2.43	-0.50	62230	60550		
86-577A	86-577A-11H-2,90-91	97.30	94.9	0.00	97.31	2.1	99.41	2.34	-0.60	62290	60650		
86-577A	86-577A-11H-2,120-121	97.59	94.9	0.00	97.61	2.1	99.71	2.63	-0.75	62350	60740		
86-577A	86-577A-11H-3,0-1	97.90	94.9	0.00	97.91	2.1	100.01	2.64	-0.77	62410	60840		
86-577A	86-577A-11H-3,30-31	98.20	94.9	0.00	98.21	2.1	100.31	2.53	-0.61	62470	60930		
86-577A	86-577A-11H-3,60-61	98.49	94.9	0.00	98.51	2.1	100.61	2.48	-0.72	62530	61030		
86-577A	86-577A-11H-3,90-91	98.80	94.9	0.00	98.81	2.1	100.91	2.32	-0.77	62590	61130		
86-577A	86-577A-11H-3,120-121	99.10	94.9	0.00	99.11	2.1	101.21	2.36	-0.62	62650	61220		
86-577A	86-577A-11H-4,0-1	99.40	94.9	0.00	99.41	2.1	101.51	2.16	-0.80	62710	61320		
86-577A	86-577A-11H-4,30-31	99.70	94.9	0.00	99.71	2.1	101.81	2.45	-0.58	62780	61410		
86-577A	86-577A-11H-4,60-61	100.00	94.9	0.00	100.01	2.1	102.11	2.43	-0.86	62830	61510		
86-577A	86-577A-11H-4,90-91	100.30	94.9	0.00	100.31	2.1	102.41	2.42	-0.64	62900	61610		
86-577A	86-577A-11H-4,120-121	100.60	94.9	0.00	100.61	2.1	102.71	2.31	-0.85	62960	61700		
86-577A	86-577A-11H-5,0-1	100.90	94.9	0.00	100.91	2.1	103.01	1.97	-0.64	63020	61800		
86-577A	86-577A-11H-5,30-31	101.20	94.9	0.00	101.21	2.1	103.31	2.54	-0.67	63140	61890		
86-577A	86-577A-11H-5,60-61	101.50	94.9	0.00	101.51	2.1	103.61	2.52	-0.77	63290	61990		
86-577A	86-577A-11H-5,90-91	101.80	94.9	0.00	101.81	2.1	103.91	2.36	-1.03	63430	62090		Base C27n, 62.1 Ma
86-577A	86-577A-11H-5,120-121	102.10	94.9	0.00	102.11	2.1	104.21	2.38	-0.69	63610	62230		
86-577A	86-577A-11H-6,0-1	102.40	94.9	0.00	102.41	2.1	104.51	2.20	-0.83	63770	62390		
86-577A	86-577A-11H-6,30-31	102.70	94.9	0.00	102.71	2.1	104.81	2.33	-0.87	63940	62550		
86-577A	86-577A-11H-6,60-61	103.00	94.9	0.00	103.01	2.1	105.11	1.91	-0.89	64100	62710		
86-577A	86-577A-11H-6,90-91	103.30	94.9	0.00	103.31	2.1	105.41	1.98	-0.74	64270	62870		
86-577A	86-577A-11H-6,120-121	103.60	94.9	0.00	103.61	2.1	105.71	2.13	-1.09	64400	63030		
86-577A	86-577A-11H-7,0-1	103.90	94.9	0.00	103.91	2.1	106.01	1.96	-0.96	64510	63190		
86-577A	86-577A-11H-CC (86-577A-11H-8,5-6)	104.15	94.9	-1.42	104.04	2.1	106.14	2.08	-1.00	64600	63260		
